unit,var,0,-10,-20,-31,-50,-100,-250,-500,-1000,-2500,-5000,-10000,-16000
16,wc,0.786,0.765,0.739,0.712,0.672,0.597,0.486,0.408,0.34,0.267,0.222,0.185,0.16314
16,z1,0,9.7,18.9,28.5,43.5,72.6,108.3,123.2,130.2,133.9,135,135.4,135.6
16,z2,0,9.3,17.9,26.5,38.8,59.6,80.4,88.1,91.6,93.5,94,94.2,94.3
17,k,4.48,0.21,0.11,0.06,3.09E-02,9.52E-03,1.56E-03,3.54E-04,7.67E-05,9.79E-06,2.04E-06,4.23E-07,1.46E-07
17,wc,0.719,0.707,0.694,0.682,0.663,0.628,0.57,0.523,0.478,0.423,0.385,0.351,0.3288
17,z1,0,7.9,13.8,18.6,24.4,31.6,37.2,39.1,39.9,40.3,40.5,40.5,40.5
17,z2,0,6.5,10.7,13.9,17.3,21.2,24.1,25,25.4,25.6,25.7,25.7,25.7
18,k,13.14,0.68,0.34,0.19,9.54E-02,2.84E-02,4.47E-03,9.90E-04,2.09E-04,2.60E-05,5.31E-06,1.08E-06,3.66E-07
18,wc,0.765,0.751,0.735,0.72,0.698,0.655,0.587,0.534,0.484,0.422,0.381,0.343,0.31973
18,z1,0,9.2,17.4,25.3,36.2,52.9,68,73.2,75.5,76.6,76.9,77,77
18,z2,0,8.6,15.6,21.7,29.3,39.5,47.5,50.2,51.3,51.9,52,52.1,52.1
19,k,22.32,16.89,10.95,5.97,1.74E+00,6.80E-02,1.37E-04,7.58E-07,3.85E-09,3.47E-12,1.71E-14,8.48E-17,2.32E-18
19,wc,0.366,0.362,0.351,0.33,0.285,0.185,0.079,0.042,0.024,0.015,0.012,0.011,0.01056
19,z1,0,9.9,19.9,30.7,49.1,85.7,95.6,95.6,95.6,95.6,95.6,95.6,95.6
19,z2,0,9.9,19.8,30.5,48.3,78.4,84,84,84,84,84,84,84
20,k,22.76,8.44,4.54,2.47,9.73E-01,1.44E-01,5.09E-03,2.97E-04,1.57E-05,3.04E-07,1.52E-08,7.59E-10,9.93E-11
20,wc,0.387,0.38,0.367,0.351,0.325,0.27,0.19,0.141,0.105,0.073,0.057,0.046,0.03998
20,z1,0,9.9,19.8,30.4,48.2,86.5,119.6,123.1,123.6,123.6,123.6,123.6,123.6
20,z2,0,9.8,19.5,29.9,46.6,78.1,98.1,99.9,100.1,100.1,100.1,100.1,100.1
21,k,12.37,6.33,3.82,2.29,1.04E+00,2.04E-01,1.30E-02,1.32E-03,1.28E-04,5.68E-06,5.36E-07,5.06E-08,1.02E-08
21,wc,0.34,0.333,0.32,0.302,0.27,0.206,0.124,0.082,0.054,0.033,0.024,0.019,0.01633
21,z1,0,9.9,19.7,30.3,48.1,88.3,136.9,147.6,149.8,150.3,150.3,150.4,150.4
21,z2,0,9.8,19.4,29.7,46.4,80.3,111.2,116.6,117.8,118,118,118,118
22,k,25.81,9.83,5.69,3.36,1.51E+00,2.87E-01,1.44E-02,1.06E-03,6.91E-05,1.76E-06,1.07E-07,6.54E-09,9.79E-10
22,wc,0.364,0.358,0.349,0.337,0.316,0.269,0.195,0.146,0.108,0.073,0.055,0.042,0.0355
22,z1,0,9.9,19.8,30.5,48.7,91.4,147,157.5,159.1,159.3,159.3,159.3,159.3
22,z2,0,9.9,19.6,30.1,47.5,84.9,121.6,127.1,127.9,128,128,128,128
23,k,17.42,14,7.55,2.74,4.06E-01,9.88E-03,4.66E-05,7.77E-07,1.29E-08,5.71E-11,9.47E-13,1.57E-14,9.75E-16
23,wc,0.337,0.33,0.295,0.23,0.136,0.049,0.017,0.012,0.011,0.01,0.01,0.01,0.01
23,z1,0,9.9,19.8,30.6,47.7,66.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6
23,z2,0,9.9,19.7,30.2,45.9,58.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8
24,k,32.83,6,3.38,2.1,1.12E+00,3.61E-01,5.96E-02,1.34E-02,2.85E-03,3.58E-04,7.37E-05,1.52E-05,5.18E-06
24,wc,0.333,0.327,0.319,0.31,0.295,0.266,0.219,0.185,0.154,0.121,0.101,0.085,0.07528
24,z1,0,9.9,19.7,30.3,48.1,90.8,175.1,228.9,258,273.3,277.4,279.1,279.6
24,z2,0,9.8,19.3,29.6,46.3,83.7,143.8,174.5,189.5,197.2,199.3,200.1,200.4
25,k,37.55,3.12,1.82,1.19,6.91E-01,2.68E-01,5.92E-02,1.66E-02,4.41E-03,7.29E-04,1.84E-04,4.63E-05,1.81E-05
25,wc,0.513,0.508,0.502,0.495,0.485,0.462,0.422,0.387,0.352,0.308,0.279,0.252,0.23503
25,z1,0,9.8,19.4,29.7,46.7,86.8,166.7,225,264,290.3,299.5,304.1,305.8
25,z2,0,9.6,18.8,28.5,44,77.5,133,166.4,186.8,200.1,204.7,207,207.9
26,k,8.64,2.51,1.58,1.06,6.16E-01,2.20E-01,3.82E-02,8.39E-03,1.71E-03,1.98E-04,3.84E-05,7.39E-06,2.42E-06
26,wc,0.454,0.448,0.439,0.429,0.411,0.371,0.299,0.243,0.194,0.142,0.112,0.088,0.07507
26,z1,0,9.7,19.2,29.4,46.3,85.1,153.4,190.9,209.3,218.3,220.5,221.3,221.6
26,z2,0,9.5,18.5,28,43.2,75.1,120.5,141,150.4,154.9,156,156.5,156.6
27,k,3.77,1.32,0.87,0.61,3.71E-01,1.42E-01,2.64E-02,5.95E-03,1.23E-03,1.44E-04,2.81E-05,5.44E-06,1.79E-06
27,wc,0.458,0.453,0.446,0.437,0.42,0.381,0.306,0.246,0.193,0.138,0.106,0.082,0.06877
